Month_Registered,Zip_Code,City,County,Total_EV_Registrations
2020-07-31,20772,Upper Marlboro,Prince George's County,174
2020-07-31,20773,Upper Marlboro,Prince George's County,0
2020-07-31,20774,Upper Marlboro,Prince George's County,151
2020-07-31,20775,Upper Marlboro,Prince George's County,0
2020-07-31,20776,Harwood,Anne Arundel County,24
2020-07-31,20777,Highland,Howard County,82
2020-07-31,20778,West River,Anne Arundel County,13
2020-07-31,20779,Tracys Landing,Anne Arundel County,9
2020-07-31,20781,Hyattsville,Prince George's County,61
2020-07-31,20782,Hyattsville,Prince George's County,82
2020-07-31,20783,Hyattsville,Prince George's County,35
2020-07-31,20784,Hyattsville,Prince George's County,20
2020-07-31,20785,Hyattsville,Prince George's County,64
2020-07-31,20787,Hyattsville,Prince George's County,0
2020-07-31,20788,Hyattsville,Prince George's County,0
2020-07-31,20790,Capitol Heights,Prince George's County,0
2020-07-31,20791,Capitol Heights,Prince George's County,0
2020-07-31,20792,Upper Marlboro,Prince George's County,0
2020-07-31,20794,Jessup,Howard County,61
2020-07-31,20797,Southern Md Facility,Prince George's County,0
2020-07-31,20799,Capitol Heights,Prince George's County,0
2020-07-31,20810,Bethesda,Montgomery County,0
2020-07-31,20811,Bethesda,Montgomery County,0
2020-07-31,20812,Glen Echo,Montgomery County,10
2020-07-31,20813,Bethesda,Montgomery County,0
2020-07-31,20814,Bethesda,Montgomery County,426
2020-07-31,20815,Chevy Chase,Montgomery County,509
2020-07-31,20816,Bethesda,Montgomery County,273
2020-07-31,20817,Bethesda,Montgomery County,813
2020-07-31,20818,Cabin John,Montgomery County,52
2020-07-31,20824,Bethesda,Montgomery County,0
2020-07-31,20825,Chevy Chase,Montgomery County,0
2020-07-31,20827,Bethesda,Montgomery County,1
2020-07-31,20830,Olney,Montgomery County,0
2020-07-31,20832,Olney,Montgomery County,145
2020-07-31,20833,Brookeville,Montgomery County,84
2020-07-31,20837,Poolesville,Montgomery County,77
2020-07-31,20838,Barnesville,Montgomery County,1
