Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
20837,Poolesville,Montgomery County,357,363,488,829,1269,0,363.0,488.0,829.0,1269.0
20866,Burtonsville,Montgomery County,372,379,508,829,1269,0,379.0,508.0,829.0,1269.0
21078,Havre De Grace,Harford County,420,436,550,857,1268,0,436.0,550.0,857.0,1268.0
20639,Huntingtown,Calvert County,342,340,471,784,1248,0,340.0,471.0,784.0,1248.0
20872,Damascus,Montgomery County,361,372,493,815,1248,0,372.0,493.0,815.0,1248.0
21035,Davidsonville,Anne Arundel County,324,334,447,783,1248,0,334.0,447.0,783.0,1248.0
21797,Woodbine,Howard County,355,367,482,797,1247,0,367.0,482.0,797.0,1247.0
20794,Jessup,Howard County,348,349,479,797,1247,0,349.0,479.0,797.0,1247.0
21090,Linthicum Heights,Anne Arundel County,1083,1134,1418,2111,3723,2,378.0,472.7,703.7,1241.0
20745,Oxon Hill,Prince George's County,426,434,552,910,1232,0,434.0,552.0,910.0,1232.0
20783,Hyattsville,Prince George's County,234,236,325,945,1232,0,236.0,325.0,945.0,1232.0
20607,Accokeek,Prince George's County,427,427,552,910,1232,0,427.0,552.0,910.0,1232.0
20619,California,Saint Mary's County,303,309,433,749,1231,0,309.0,433.0,749.0,1231.0
21104,Marriottsville,Carroll County,314,321,444,773,1230,0,321.0,444.0,773.0,1230.0
21032,Crownsville,Anne Arundel County,336,345,470,805,1225,0,345.0,470.0,805.0,1225.0
20650,Leonardtown,Saint Mary's County,337,338,463,772,1225,0,338.0,463.0,772.0,1225.0
20777,Highland,Howard County,321,334,440,749,1208,0,334.0,440.0,749.0,1208.0
21716,Brunswick,Frederick County,320,321,459,779,1207,0,321.0,459.0,779.0,1207.0
21234,Parkville,Baltimore County,714,722,893,1409,2400,1,361.0,446.5,704.5,1200.0
20748,Temple Hills,Prince George's County,379,376,521,850,1195,0,376.0,521.0,850.0,1195.0
20708,Laurel,Prince George's County,364,367,496,874,1195,0,367.0,496.0,874.0,1195.0
20784,Hyattsville,Prince George's County,207,207,283,795,1195,0,207.0,283.0,795.0,1195.0
20653,Lexington Park,Saint Mary's County,310,307,430,744,1104,0,307.0,430.0,744.0,1104.0
20879,Gaithersburg,Montgomery County,658,656,829,1248,2192,1,328.0,414.5,624.0,1096.0
21754,Ijamsville,Frederick County,315,322,439,745,1095,0,322.0,439.0,745.0,1095.0
20877,Gaithersburg,Montgomery County,648,647,815,1224,2160,1,323.5,407.5,612.0,1080.0
21224,Baltimore,Baltimore City,907,885,1076,1794,3205,2,295.0,358.7,598.0,1068.3
21048,Finksburg,Carroll County,272,272,373,663,1063,0,272.0,373.0,663.0,1063.0
20732,Chesapeake Beach,Calvert County,253,262,340,616,1041,0,262.0,340.0,616.0,1041.0
20903,Silver Spring,Montgomery County,263,265,354,649,1032,0,265.0,354.0,649.0,1032.0
20769,Glenn Dale,Prince George's County,269,268,373,663,1030,0,268.0,373.0,663.0,1030.0
21811,Berlin,Worcester County,351,354,483,782,1019,0,354.0,483.0,782.0,1019.0
20912,Takoma Park,Montgomery County,936,931,1015,1015,1015,0,931.0,1015.0,1015.0,1015.0
20853,Rockville,Montgomery County,939,953,1015,1015,1015,0,953.0,1015.0,1015.0,1015.0
21774,New Market,Frederick County,927,925,1017,1015,1015,0,925.0,1017.0,1015.0,1015.0
20720,Bowie,Prince George's County,791,791,919,1015,1015,0,791.0,919.0,1015.0,1015.0
21208,Pikesville,Baltimore County,981,982,1015,1015,1015,0,982.0,1015.0,1015.0,1015.0
21220,Middle River,Baltimore County,650,650,816,1013,1015,0,650.0,816.0,1013.0,1015.0
20744,Fort Washington,Prince George's County,1012,1022,1015,1015,1015,0,1022.0,1015.0,1015.0,1015.0
21012,Arnold,Anne Arundel County,591,594,744,1024,1012,0,594.0,744.0,1024.0,1012.0
21114,Crofton,Anne Arundel County,573,589,734,1026,1012,0,589.0,734.0,1026.0,1012.0
21108,Millersville,Anne Arundel County,602,606,758,1020,1012,0,606.0,758.0,1020.0,1012.0
21409,Annapolis,Anne Arundel County,682,702,839,1012,1012,0,702.0,839.0,1012.0,1012.0
21037,Edgewater,Anne Arundel County,600,607,758,1020,1012,0,607.0,758.0,1020.0,1012.0
21144,Severn,Anne Arundel County,948,952,1013,1012,1012,0,952.0,1013.0,1012.0,1012.0
21054,Gambrills,Anne Arundel County,520,530,645,965,1012,0,530.0,645.0,965.0,1012.0
21085,Joppa,Harford County,236,239,321,597,1007,0,239.0,321.0,597.0,1007.0
20747,District Heights,Prince George's County,288,294,397,683,1003,0,294.0,397.0,683.0,1003.0
21076,Hanover,Anne Arundel County,1175,1954,1912,3379,3978,3,488.5,478.0,844.8,994.5
20814,Bethesda,Montgomery County,2105,2150,2826,3978,3978,3,537.5,706.5,994.5,994.5
